title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Impractical Jokers,2011,16+,8.6/10,71/100,0,1,0,0,8.6,71.0,Comedy Reality-TV,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera."
Debris,2021,16+,6.5/10,71/100,0,1,0,0,6.5,71.0,Drama Mystery Sci-Fi,"Two agents from two different continents and two different mindsets, must work together to investigate when wreckage from a destroyed alien spacecraft has mysterious effects on humankind."
Solar Opposites,2020,18+,8.0/10,70/100,0,1,0,0,8.0,70.0,Animation Comedy Sci-Fi,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet."
Trust,2018,18+,7.6/10,70/100,0,1,0,0,7.6,70.0,Biography Crime Drama,"In 1973 Rome, John Paul Getty III, the heir and younger member of an oil tycoons' clan, is kidnapped by the Italian Mafia in order to get a ransom."
Last Man Standing,2011,7+,7.5/10,70/100,0,1,0,0,7.5,70.0,Comedy,A married father of three tries to maintain his manliness in a world increasingly dominated by women.
Body of Proof,2011,16+,7.1/10,70/100,0,1,0,0,7.1,70.0,Comedy Crime Drama,Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.
The Hitchhiker's Guide to the Galaxy,1981,7+,8.0/10,70/100,0,1,1,0,8.0,70.0,Adventure Comedy Sci-Fi,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."""
Afro Samurai,2007,18+,7.7/10,70/100,0,1,0,0,7.7,70.0,Animation Action Adventure,A Black samurai goes on a mission to avenge the wrongful death of his father in a futuristic feudal Japan.
S.W.A.T.,2017,16+,7.0/10,70/100,0,1,0,0,7.0,70.0,Action Adventure Crime,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
A Million Little Things,2018,16+,7.9/10,70/100,0,1,0,0,7.9,70.0,Comedy Drama Romance,A group of friends becomes motivated to live fuller lives after the unexpected death of a close friend.
For Life,2020,16+,7.6/10,70/100,0,1,0,0,7.6,70.0,Biography Crime Drama,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.
Battlestar Galactica,1978,7+,7.2/10,70/100,0,1,0,0,7.2,70.0,Action Adventure Drama,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
Alfred Hitchcock Presents,1955,16+,8.5/10,70/100,0,1,0,0,8.5,70.0,Comedy Crime Drama,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
Flashpoint,2008,16+,7.7/10,70/100,0,1,1,0,7.7,70.0,Action Crime Drama,The missions and trials of a Toronto police tactical unit.
The Detour,2016,18+,7.7/10,70/100,0,1,0,0,7.7,70.0,Adventure Comedy,"A contemporary father takes his family on a road trip across America, but a set of crazy, unforeseen circumstances causes them to end up on the run from the FBI."
Greek,2007,16+,7.5/10,70/100,0,1,0,0,7.5,70.0,Comedy Drama Family,"Freshman Rusty Cartwright arrives at college and decides he no longer wants to be the boring geek from high school. He decides to pledge a fraternity. He is offered 2 bids; one from his sister's boyfriend Evan's fraternity and one from Cappie, his sister's ex-boyfriend's fraterni... Read all"
Casual,2015,18+,7.5/10,70/100,0,1,0,0,7.5,70.0,Comedy Drama,"A comedy series about a bachelor brother and his newly divorced sister living under one roof again. Together, they coach each other through the crazy world of dating while raising her teenage daughter."
Mary Kills People,2017,18+,7.5/10,70/100,0,1,0,0,7.5,70.0,Drama,"Single mother Mary Harris is an ER doctor by day, but by night she and her partner, a former plastic surgeon, moonlight as underground angels of death who help terminally ill patients slip away on their own terms."
Mushi-Shi,2005,16+,8.5/10,70/100,0,1,1,0,8.5,70.0,Animation Drama Fantasy,"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems."
Baskets,2016,18+,7.6/10,70/100,0,1,0,0,7.6,70.0,Comedy Drama,"After failing at a prestigious French clowning college, Chip Baskets looks to keep his dream of becoming a professional clown alive."
Touch,2012,16+,7.3/10,70/100,0,1,1,0,7.3,70.0,Drama Mystery Sci-Fi,A widower struggling to raise his emotionally challenged son discovers that he can predict events before they happen.
Rurouni Kenshin,1996,16+,8.5/10,70/100,0,1,1,0,8.5,70.0,Action Adventure Drama,A former assassin who has resolved to never kill again has his vow sorely tested.
Big Sky,2020,16+,6.7/10,70/100,0,1,1,0,6.7,70.0,Crime Drama Mystery,A private detective teams up with an ex-cop to solve a kidnapping case in Montana.
